TX 02000000
RX 20442000000200000c0000007500000000000d0a000000000313020000000000870c00004512451243a800000064025564000000000000000000000000000000
RX 20442000000200000c0000001300000000000d0a00000000030c0000021900000000000000000000356900000064025564000000000000000000000000000000
RX 20442000000200000c0000001300000000000d0a000000000313020000000000591500004512451243a800000064025564000000000000000000000000000000
RX 20442000000200000c0000001300000000000d0a000000000313020000000000591500004512451243a800000064025564000000000000000000000000000000
RX 20442000000200000c0000005a00000000000d0a000000000313020000000000e21400004512451243a800000064025564000000000000000000000000000000
RX 20442000000200000c0000005a00000000000d0a000000000313020000000000591500004512451243a800000064025564000000000000000000000000000000
RX 20442000000200000c0000005a00000000000d0a000000000313020000000000591500004512451243a800000064025564000000000000000000000000000000
RX 20442000000200000c0000005a00000000000d0a000000000313020000000000591500004512451243a800000064025564000000000000000000000000000000
RX 20442000000200000c0000005a00000000000d0a000000000313020000000000e21400004512451243a800000064025564000000000000000000000000000000
RX 20442000000200000c0000005a00000000000d0a000000000313020000000000e21400004512451243a800000064025564000000000000000000000000000000
RX 20442000000200000c0000006e00000000000d0a000000000313020000000000e21400004512451243a800000064025564000000000000000000000000000000
RX 20442000000200000c0000006e00000000000d0a000000000313020000000000e21400004512451243a800000064025564000000000000000000000000000000
RX 20442000000200000c0000006e00000000000d0a000000000313020000000000e21400004512451243a800000064025564000000000000000000000000000000
RX 20442000000200000c0000006e00000000000d0a000000000313020000000000591500004512451243a800000064025564000000000000000000000000000000
RX 20442000000200000c0000006e00000000000d0a000000000313020000000000e21400004512451243a800000064025564000000000000000000000000000000
RX 20442000000200000c0000006e00000000000d0a0000000003130200000000006b1400004512451243a800000064025564000000000000000000000000000000
RX 20442000000200000c0000007400000000000d0a000000000313020000000000e21400004512451243a800000064025564000000000000000000000000000000
RX 20442000000200000c0000007400020000000d0a000000000313020000000000e21400004512451243a800000064025564000000000000000000000000000000
RX 20442000000200000c0000007400000000000d0a000000000313020000000000e21400004512451243a800000064025564000000000000000000000000000000
RX 20442000000200000c0000007400000000000d0a000000000313020000000000e21400004512451243a800000064025564000000000000000000000000000000
RX 20442000000200000c0000007400000000000d0a000000000313020000000000cf1500004512451243a800000064025564000000000000000000000000000000
RX 20442000000200000c0000007400000000000d0a000000000313020000000000e21400004512451243a800000064025564000000000000000000000000000000
RX 20442000000200000c0000007600000000000d0a000000000313020000000000e21400004512451243a800000064025564000000000000000000000000000000
RX 20442000000200000c0000007600000000000d0a000000000313020000000000591500004512451243a800000064025564000000000000000000000000000000
RX 20442000000200000c0000007600000000000d0a0000000003130200000000006b1400004512451243a800000064025564000000000000000000000000000000
RX 20442000000200000c0000007600000000000d0a000000000313020000000000e21400004512451243a800000064025564000000000000000000000000000000
RX 20442000000200000c0000007600000000000d0a000000000313020000000000591500004512451243a800000064025564000000000000000000000000000000
RX 20442000000200000c0000007700000000000d0a000000000313020000000000591500004512451243a800000064025564000000000000000000000000000000
RX 20442000000200000c0000007700000000000d0a000000000313020000000000e21400004512451243a800000064025564000000000000000000000000000000
RX 20442000000200000c0000007700000000000d0a000000000313020000000000591500004512451243a800000064025564000000000000000000000000000000
RX 20442000000200000c0000007700000000000d0a000000000313020000000000e21400004512451243a800000064025564000000000000000000000000000000
RX 20442000000200000c0000007700000000000d0a000000000313020000000000591500004512451243a800000064025564000000000000000000000000000000
RX 20442000000200000c0000007700000000000d0a000000000313020000000000591500004512451243a800000064025564000000000000000000000000000000
RX 20442000000200000c0000007700000000000d0a000000000313020000000000cf1500004512451243a800000064025564000000000000000000000000000000
RX 20442000000200000c0000007700000000000d0a000000000313020000000000e21400004512451243a800000064025564000000000000000000000000000000
